name,latitude,longitude,timestamp,pm25,pm10,co,no2,o3
Kyiv,50.4501,30.5234,2024-11-24 11:21:48.995285,27.483570765056164,35.83158286170111,0.7075260872625265,16.980372304161076,49.978337448919824
Kyiv,50.4501,30.5234,2024-11-25 11:21:48.995285,24.480812055702422,36.612628350518015,0.43452388942221015,23.50570246416631,55.80779312236432
Kyiv,50.4501,30.5234,2024-11-26 11:21:48.995285,28.58265880673092,42.41211914967902,0.6804807026410741,24.123453260133324,43.549939470022096
Kyiv,50.4501,30.5234,2024-11-27 11:21:48.995285,33.13134595427267,51.08943166103584,0.5301150117909156,19.903892755143033,39.85831191474687
Kyiv,50.4501,30.5234,2024-11-28 11:21:48.995285,24.51725739440652,40.473798281500464,0.4486186849990191,13.978447436985816,43.704564644437546
Kyiv,50.4501,30.5234,2024-11-29 11:21:48.995285,24.688963202628564,39.286574863038354,0.46880437634205707,18.606358032403936,45.72774911043088
Kyiv,50.4501,30.5234,2024-11-30 11:21:48.995285,33.9270810520113,50.35284419690729,0.4885856086700549,24.4064921269205,39.943187333925565
Kyiv,50.4501,30.5234,2024-12-01 11:21:48.995285,30.03925409475807,42.84582932465377,0.5664582036200622,20.532436037600117,50.7791774530519
Kyiv,50.4501,30.5234,2024-12-02 11:21:48.995285,24.02541579145789,41.184843293686555,0.5797393032262028,17.68848716368159,43.20953537765598
Kyiv,50.4501,30.5234,2024-12-03 11:21:48.995285,29.255888424572632,44.00226950488793,0.4734917637389983,19.257219339636755,44.803347755421186
Kyiv,50.4501,30.5234,2024-12-04 11:21:48.995285,24.395842977752462,36.62162305045458,0.5318231696101972,23.378325800421045,45.899018422994466
Kyiv,50.4501,30.5234,2024-12-05 11:21:48.995285,24.55361833058116,36.78217732165173,0.7518723778298353,22.58133425382036,44.93133370072094
Kyiv,50.4501,30.5234,2024-12-06 11:21:48.995285,28.26085635651636,42.78745405631025,0.713775216983795,20.308726201834013,47.271270000377356
Kyiv,50.4501,30.5234,2024-12-07 11:21:48.995285,17.652813906752662,26.190500036281108,0.5880166695682364,20.009134329576764,40.242556762327865
Kyiv,50.4501,30.5234,2024-12-08 11:21:48.995285,18.762138497494334,26.99588373248103,0.5515349010180101,20.018089382898285,40.7885827203591
Kyiv,50.4501,30.5234,2024-12-09 11:21:48.995285,24.742095304957004,36.019425074954725,0.5630737916950636,18.509535922085426,38.32952826188433
