name,latitude,longitude,timestamp,gamma,beta,alpha,ambient_dose_rate
Kyiv,50.4501,30.5234,2024-11-20 17:40:06.483026,0.10166865247441656,0.04511830340372615,0.0001218925819218014,0.14690884846006452
Kyiv,50.4501,30.5234,2024-11-20 23:40:06.483026,0.09628375292824888,0.06105044945486821,0.0073497679587321086,0.1646839703418492
Kyiv,50.4501,30.5234,2024-11-21 05:40:06.483026,0.10269791538168317,0.1443546070212036,0.041306892014249266,0.28835941441713603
Kyiv,50.4501,30.5234,2024-11-21 11:40:06.483026,0.10804655570083732,0.057242775080871146,0.0074036648801448805,0.17269299566185334
Kyiv,50.4501,30.5234,2024-11-21 17:40:06.483026,0.09445310506345911,0.05412877057239014,0.002014146988729789,0.15059602262457902
Kyiv,50.4501,30.5234,2024-11-21 23:40:06.483026,0.09380404443283454,0.04531707641887014,0.00022341469477146108,0.13934453554647613
Kyiv,50.4501,30.5234,2024-11-22 05:40:06.483026,0.11684688134682462,0.04803892872770997,0.004380457778977,0.1692662678535116
Kyiv,50.4501,30.5234,2024-11-22 11:40:06.483026,0.11014713199742705,0.04578851576113764,0.025038210733803693,0.18097385849236838
Kyiv,50.4501,30.5234,2024-11-22 17:40:06.483026,0.10825093930313474,0.043450511570080785,0.05670572533093149,0.208407176204147
Kyiv,50.4501,30.5234,2024-11-22 23:40:06.483026,0.10825998574015089,0.04892750502137791,0.029071350262750335,0.18625884102427914
Kyiv,50.4501,30.5234,2024-11-23 05:40:06.483026,0.10502597721315596,0.04422211040520795,0.013071874508762437,0.16231996212712635
Kyiv,50.4501,30.5234,2024-11-23 11:40:06.483026,0.12065097201497496,0.0493618701366327,0.00816768364076829,0.17818052579237595
Kyiv,50.4501,30.5234,2024-11-23 17:40:06.483026,0.10095527969100412,0.059922881789879576,0.00893273048957269,0.16981089197045637
Kyiv,50.4501,30.5234,2024-11-23 23:40:06.483026,0.10633179357301523,0.053763025740272474,0.007743399022788002,0.1678382183360757
Kyiv,50.4501,30.5234,2024-11-24 05:40:06.483026,0.08609300348771781,0.04751541694383693,0.012277509603127694,0.14588593003468245
Kyiv,50.4501,30.5234,2024-11-24 11:40:06.483026,0.09239547762858076,0.04712892564461451,0.005427863474731014,0.14495226674792627
Kyiv,50.4501,30.5234,2024-11-24 17:40:06.483026,0.0886798342696728,0.04833841060315705,0.01106253422785471,0.14808077910068457
Kyiv,50.4501,30.5234,2024-11-24 23:40:06.483026,0.11347158713414228,0.06072113861829423,0.0012966700039529868,0.17548939575638947
Kyiv,50.4501,30.5234,2024-11-25 05:40:06.483026,0.07524846327212714,0.04494516014080229,0.0030883122282701443,0.12328193564119959
Kyiv,50.4501,30.5234,2024-11-25 11:40:06.483026,0.09679366372577701,0.05039953686235591,0.0180790738065052,0.16527227439463812
Kyiv,50.4501,30.5234,2024-11-25 17:40:06.483026,0.07092258196076824,0.052756638612346377,0.02340795196716377,0.1470871725402784
Kyiv,50.4501,30.5234,2024-11-25 23:40:06.483026,0.09258963714549151,0.05652870165827912,0.007743751050394986,0.1568620898541656
Kyiv,50.4501,30.5234,2024-11-26 05:40:06.483026,0.09603587800085334,0.048809329756521996,0.00032146834037955944,0.14516667609775488
