name,latitude,longitude,timestamp,heavy_metals,pesticides,ph
Berlin Soil,52.5200,13.4000,2024-12-10 08:00,5.0,0.4,6.2
Berlin Soil,52.5200,13.4000,2024-12-10 09:00,5.4,0.43,6.21
Berlin Soil,52.5200,13.4000,2024-12-10 10:00,5.8,0.46,6.22
Berlin Soil,52.5200,13.4000,2024-12-10 11:00,6.2,0.49,6.23
Berlin Soil,52.5200,13.4000,2024-12-10 12:00,6.6,0.52,6.24
Berlin Soil,52.5200,13.4000,2024-12-10 13:00,7.0,0.55,6.25
Berlin Soil,52.5200,13.4000,2024-12-10 14:00,7.4,0.58,6.26
Berlin Soil,52.5200,13.4000,2024-12-10 15:00,7.8,0.61,6.27
Berlin Soil,52.5200,13.4000,2024-12-10 16:00,8.2,0.64,6.28
Berlin Soil,52.5200,13.4000,2024-12-10 17:00,8.6,0.67,6.29
Berlin Soil,52.5200,13.4000,2024-12-10 18:00,9.0,0.7,6.3
Berlin Soil,52.5200,13.4000,2024-12-10 19:00,9.4,0.73,6.31
Berlin Soil,52.5200,13.4000,2024-12-10 20:00,9.8,0.76,6.32
Berlin Soil,52.5200,13.4000,2024-12-10 21:00,10.2,0.79,6.33
Berlin Soil,52.5200,13.4000,2024-12-10 22:00,10.6,0.82,6.34
Berlin Soil,52.5200,13.4000,2024-12-10 23:00,11.0,0.85,6.35
Berlin Soil,52.5200,13.4000,2024-12-11 00:00,11.4,0.88,6.36
Berlin Soil,52.5200,13.4000,2024-12-11 01:00,11.8,0.91,6.37
Berlin Soil,52.5200,13.4000,2024-12-11 02:00,12.2,0.94,6.38
Berlin Soil,52.5200,13.4000,2024-12-11 03:00,12.6,0.97,6.39
Paris Soil,48.8500,2.3500,2024-12-10 09:00,8.0,0.7,6.3
Paris Soil,48.8500,2.3500,2024-12-10 10:00,8.4,0.73,6.31
Paris Soil,48.8500,2.3500,2024-12-10 11:00,8.8,0.76,6.32
Paris Soil,48.8500,2.3500,2024-12-10 12:00,9.2,0.79,6.33
Paris Soil,48.8500,2.3500,2024-12-10 13:00,9.6,0.82,6.34
Paris Soil,48.8500,2.3500,2024-12-10 14:00,10.0,0.85,6.35
Paris Soil,48.8500,2.3500,2024-12-10 15:00,10.4,0.88,6.36
Paris Soil,48.8500,2.3500,2024-12-10 16:00,10.8,0.91,6.37
Paris Soil,48.8500,2.3500,2024-12-10 17:00,11.2,0.94,6.38
Paris Soil,48.8500,2.3500,2024-12-10 18:00,11.6,0.97,6.39
Paris Soil,48.8500,2.3500,2024-12-10 19:00,12.0,1.0,6.4
Paris Soil,48.8500,2.3500,2024-12-10 20:00,12.4,1.03,6.41
Paris Soil,48.8500,2.3500,2024-12-10 21:00,12.8,1.06,6.42
Paris Soil,48.8500,2.3500,2024-12-10 22:00,13.2,1.09,6.43
Paris Soil,48.8500,2.3500,2024-12-10 23:00,13.6,1.12,6.44
Paris Soil,48.8500,2.3500,2024-12-11 00:00,14.0,1.15,6.45
Paris Soil,48.8500,2.3500,2024-12-11 01:00,14.4,1.18,6.46
Paris Soil,48.8500,2.3500,2024-12-11 02:00,14.8,1.21,6.47
Paris Soil,48.8500,2.3500,2024-12-11 03:00,15.2,1.24,6.48
Paris Soil,48.8500,2.3500,2024-12-11 04:00,15.6,1.27,6.49
Madrid Soil,40.4100,-3.7000,2024-12-10 10:00,11.0,1.0,6.4
Madrid Soil,40.4100,-3.7000,2024-12-10 11:00,11.4,1.03,6.41
