name,latitude,longitude,timestamp,ph,nitrates,conductivity
Berlin,52.5200,13.4000,2024-12-10 08:00,7.0,2.0,250
Berlin,52.5200,13.4000,2024-12-10 09:00,7.01,2.5,253
Berlin,52.5200,13.4000,2024-12-10 10:00,7.02,3.0,256
Berlin,52.5200,13.4000,2024-12-10 11:00,7.03,3.5,259
Berlin,52.5200,13.4000,2024-12-10 12:00,7.04,4.0,262
Berlin,52.5200,13.4000,2024-12-10 13:00,7.05,4.5,265
Berlin,52.5200,13.4000,2024-12-10 14:00,7.06,5.0,268
Berlin,52.5200,13.4000,2024-12-10 15:00,7.07,5.5,271
Berlin,52.5200,13.4000,2024-12-10 16:00,7.08,6.0,274
Berlin,52.5200,13.4000,2024-12-10 17:00,7.09,6.5,277
Berlin,52.5200,13.4000,2024-12-10 18:00,7.1,7.0,280
Berlin,52.5200,13.4000,2024-12-10 19:00,7.11,7.5,283
Berlin,52.5200,13.4000,2024-12-10 20:00,7.12,8.0,286
Berlin,52.5200,13.4000,2024-12-10 21:00,7.13,8.5,289
Berlin,52.5200,13.4000,2024-12-10 22:00,7.14,9.0,292
Berlin,52.5200,13.4000,2024-12-10 23:00,7.15,9.5,295
Berlin,52.5200,13.4000,2024-12-11 00:00,7.16,10.0,298
Berlin,52.5200,13.4000,2024-12-11 01:00,7.17,10.5,301
Berlin,52.5200,13.4000,2024-12-11 02:00,7.18,11.0,304
Berlin,52.5200,13.4000,2024-12-11 03:00,7.19,11.5,307
Paris,48.8500,2.3500,2024-12-10 09:00,6.8,7.0,290
Paris,48.8500,2.3500,2024-12-10 10:00,6.81,7.5,293
Paris,48.8500,2.3500,2024-12-10 11:00,6.82,8.0,296
Paris,48.8500,2.3500,2024-12-10 12:00,6.83,8.5,299
Paris,48.8500,2.3500,2024-12-10 13:00,6.84,9.0,302
Paris,48.8500,2.3500,2024-12-10 14:00,6.85,9.5,305
Paris,48.8500,2.3500,2024-12-10 15:00,6.86,10.0,308
Paris,48.8500,2.3500,2024-12-10 16:00,6.87,10.5,311
Paris,48.8500,2.3500,2024-12-10 17:00,6.88,11.0,314
Paris,48.8500,2.3500,2024-12-10 18:00,6.89,11.5,317
Paris,48.8500,2.3500,2024-12-10 19:00,6.9,12.0,320
Paris,48.8500,2.3500,2024-12-10 20:00,6.91,12.5,323
Paris,48.8500,2.3500,2024-12-10 21:00,6.92,13.0,326
Paris,48.8500,2.3500,2024-12-10 22:00,6.93,13.5,329
Paris,48.8500,2.3500,2024-12-10 23:00,6.94,14.0,332
Paris,48.8500,2.3500,2024-12-11 00:00,6.95,14.5,335
Paris,48.8500,2.3500,2024-12-11 01:00,6.96,15.0,338
Paris,48.8500,2.3500,2024-12-11 02:00,6.97,15.5,341
Paris,48.8500,2.3500,2024-12-11 03:00,6.98,16.0,344
Paris,48.8500,2.3500,2024-12-11 04:00,6.99,16.5,347
Madrid,40.4100,-3.7000,2024-12-10 10:00,6.6,12.0,330
Madrid,40.4100,-3.7000,2024-12-10 11:00,6.61,12.5,333
Madrid,40.4100,-3.7000,2024-12-10 12:00,6.62,13.0,336
Madrid,40.4100,-3.7000,2024-12-10 13:00,6.63,13.5,339
Madrid,40.4100,-3.7000,2024-12-10 14:00,6.64,14.0,342
Madrid,40.4100,-3.7000,2024-12-10 15:00,6.65,14.5,345
Madrid,40.4100,-3.7000,2024-12-10 16:00,6.66,15.0,348
Madrid,40.4100,-3.7000,2024-12-10 17:00,6.67,15.5,351
Madrid,40.4100,-3.7000,2024-12-10 18:00,6.68,16.0,354
Madrid,40.4100,-3.7000,2024-12-10 19:00,6.69,16.5,357
Madrid,40.4100,-3.7000,2024-12-10 20:00,6.7,17.0,360
Madrid,40.4100,-3.7000,2024-12-10 21:00,6.71,17.5,363
Madrid,40.4100,-3.7000,2024-12-10 22:00,6.72,18.0,366
Madrid,40.4100,-3.7000,2024-12-10 23:00,6.73,18.5,369
Madrid,40.4100,-3.7000,2024-12-11 00:00,6.74,19.0,372
Madrid,40.4100,-3.7000,2024-12-11 01:00,6.75,19.5,375
Madrid,40.4100,-3.7000,2024-12-11 02:00,6.76,20.0,378
Madrid,40.4100,-3.7000,2024-12-11 03:00,6.77,20.5,381
Madrid,40.4100,-3.7000,2024-12-11 04:00,6.78,21.0,384
Madrid,40.4100,-3.7000,2024-12-11 05:00,6.79,21.5,387
Kyiv,50.4500,30.5200,2024-12-10 11:00,6.4,17.0,370
Kyiv,50.4500,30.5200,2024-12-10 12:00,6.41,17.5,373
Kyiv,50.4500,30.5200,2024-12-10 13:00,6.42,18.0,376
Kyiv,50.4500,30.5200,2024-12-10 14:00,6.43,18.5,379
Kyiv,50.4500,30.5200,2024-12-10 15:00,6.44,19.0,382
Kyiv,50.4500,30.5200,2024-12-10 16:00,6.45,19.5,385
Kyiv,50.4500,30.5200,2024-12-10 17:00,6.46,20.0,388
Kyiv,50.4500,30.5200,2024-12-10 18:00,6.47,20.5,391
Kyiv,50.4500,30.5200,2024-12-10 19:00,6.48,21.0,394
Kyiv,50.4500,30.5200,2024-12-10 20:00,6.49,21.5,397
Kyiv,50.4500,30.5200,2024-12-10 21:00,6.5,22.0,400
Kyiv,50.4500,30.5200,2024-12-10 22:00,6.51,22.5,403
Kyiv,50.4500,30.5200,2024-12-10 23:00,6.52,23.0,406
Kyiv,50.4500,30.5200,2024-12-11 00:00,6.53,23.5,409
Kyiv,50.4500,30.5200,2024-12-11 01:00,6.54,24.0,412
Kyiv,50.4500,30.5200,2024-12-11 02:00,6.55,24.5,415
Kyiv,50.4500,30.5200,2024-12-11 03:00,6.56,25.0,418
Kyiv,50.4500,30.5200,2024-12-11 04:00,6.57,25.5,421
Kyiv,50.4500,30.5200,2024-12-11 05:00,6.58,26.0,424
Kyiv,50.4500,30.5200,2024-12-11 06:00,6.59,26.5,427
Warsaw,52.2300,21.0100,2024-12-10 12:00,6.2,22.0,410
Warsaw,52.2300,21.0100,2024-12-10 13:00,6.21,22.5,413
Warsaw,52.2300,21.0100,2024-12-10 14:00,6.22,23.0,416
Warsaw,52.2300,21.0100,2024-12-10 15:00,6.23,23.5,419
Warsaw,52.2300,21.0100,2024-12-10 16:00,6.24,24.0,422
Warsaw,52.2300,21.0100,2024-12-10 17:00,6.25,24.5,425
Warsaw,52.2300,21.0100,2024-12-10 18:00,6.26,25.0,428
Warsaw,52.2300,21.0100,2024-12-10 19:00,6.27,25.5,431
Warsaw,52.2300,21.0100,2024-12-10 20:00,6.28,26.0,434
Warsaw,52.2300,21.0100,2024-12-10 21:00,6.29,26.5,437
Warsaw,52.2300,21.0100,2024-12-10 22:00,6.3,27.0,440
Warsaw,52.2300,21.0100,2024-12-10 23:00,6.31,27.5,443
Warsaw,52.2300,21.0100,2024-12-11 00:00,6.32,28.0,446
Warsaw,52.2300,21.0100,2024-12-11 01:00,6.33,28.5,449
Warsaw,52.2300,21.0100,2024-12-11 02:00,6.34,29.0,452
Warsaw,52.2300,21.0100,2024-12-11 03:00,6.35,29.5,455
Warsaw,52.2300,21.0100,2024-12-11 04:00,6.36,30.0,458
Warsaw,52.2300,21.0100,2024-12-11 05:00,6.37,30.5,461
Warsaw,52.2300,21.0100,2024-12-11 06:00,6.38,31.0,464
Warsaw,52.2300,21.0100,2024-12-11 07:00,6.39,31.5,467
